kelompok_umur,nama_penyakit,jumlah_kasus
41-60,Anorexia nervosa,1
41-60,"Arthritis, unspecified, multiple sites",1
41-60,Malignant neoplasm of other connective and soft tissue,1
41-60,"Fracture of lower leg, part unspecified, closed",1
41-60,"Other dorsalgia, lumbosacral region",1
41-60,Malignant neoplasm of other and unspecified major salivary glands,1
41-60,Malignant neoplasm of nipple and areola,1
41-60,Malignant neoplasm of ileum,1
41-60,Fused toes,1
41-60,Suppurative and unspecified otitis media,1
41-60,Influenza due to identified avian infliuenza virus,1
41-60,"Influenza, virus not identified",1
41-60,Compression of brain,1
41-60,Injury of colon,1
41-60,Stupor,1
41-60,"Malignant neoplasm of connective and soft tissue of head, face and neck",1
41-60,Other myeloid leukaemia,1
41-60,"Strabismus, unspecified",1
41-60,Injury of flexor muscle and tendon of other finger at wrist and hand level,1
41-60,Sprain and strain of lateral collateral ligament,1
41-60,"Chronic instability, medial collateral ligament or other and unspecified medial meniscus",1
41-60,"Other respiratory tuberculosis, confirmed bacteriologically and histologically",1
41-60,Other shoulder lesions,1
41-60,Injury of muscle and tendon at wrist and hand level,1
41-60,Chronic anal fissure,1
41-60,Injury of muscle and tendon of other parts of biceps,1
41-60,Other specified diabetes mellitus with hypoglycaemia,1
41-60,"Other specified diabetes mellitus, with ophthalmic complications",1
41-60,Solitary plasmacytoma,1
41-60,Other specified disorders of bone density and structure,1
41-60,Lumbar spina bifida without hydrocephalus,1
41-60,Secondary parkinsonism due to other external agents,1
41-60,Secondary malignant neoplasm of bone and bone marrow,1
41-60,Injury of small intestine,1
41-60,"Secondary and unspecified malignant neoplasm of lymph nodes of head, face and neck",1
41-60,Other specified injuries of head,1
41-60,Seborrhoea capitis,1
41-60,Other specified protozoal intestinal diseases,1
41-60,Other superficial injuries of shoulder and upper arm,1
41-60,Retinoschisis and retinal cysts,1
41-60,"Cerebrovascular disease, unspecified",1
41-60,"Cerebral infarction due to cerebral venous thrombosis, nonpyogenic",1
41-60,Otitis media in other diseases classified elsewhere,1
41-60,Cerebellar stroke syndrome (I60-I67+),1
41-60,Pain in throat and chest,1
41-60,Panniculitis affecting regions of neck and back,1
41-60,Paratyphoid fever C,1
41-60,"Residual foreign body in soft tissue, ankle and foot",1
41-60,Benign neoplasm of rectum,1
41-60,"Benign neoplasm of respiratory system, unspecified",1
41-60,Personal history of certain other diseases,1
41-60,Burn of third degree of head and neck,1
41-60,Pyothorax,1
41-60,"Pyogenic arthritis, unspecified, lower leg",1
41-60,Lack of adequate food,1
41-60,"Calcaneal spur, multiple sites",1
41-60,Pneumonia due to other aerobic Gram-negative bacteria,1
41-60,"Pneumonia due to streptococcus, group B",1
41-60,Portal hypertension,1
41-60,Neoplasm of uncertain or unknown behaviour of adrenal gland,1
41-60,Foreign body in respiratory tract,1
41-60,Progressive external ophthalmoplegia,1
41-60,Primary genital syphilis,1
41-60,Ischaemic infarction of muscle,1
41-60,Abnormality of albumin,1
60+,Fitting and adjustment of other external prosthetic devices,1
60+,Pre-excitation syndrome,1
60+,Calculus of prostate,1
60+,Postmenopausal atrophic vaginitis,1
60+,Neoplasm of uncertain or unknown behaviour of larynx,1
60+,Pulmonary mucormycosis,1
60+,"Plasmodium falciparum malaria, unspecified",1
60+,Phosphorus and its compounds,1
60+,Leukaemia of unspecified cell type,1
60+,Personal history of long-term (current) use of other medicaments,1
60+,Candidiasis of other sites,1
60+,"Cardiovascular disease, unspecified",1
60+,Central retinal artery occlusion,1
60+,"Residual foreign body in soft tissue, multiple sites",1
60+,"Respiratory failure, not elsewhere classified",1
60+,"Cervical disc disorder, unspecified",1
60+,Intraductal carcinoma in situ of breast,1
60+,Intracerebral haemorrhage in cerebellum,1
60+,"Rupture of bladder, nontraumatic",1
60+,"Interstitial pulmonary disease, unspecified",1
60+,"Fracture of calcaneus, open",1
60+,"Fracture of great toe, closed",1
60+,Other specified orthopaedic follow-up care,1
60+,"Benign neoplasm of pharynx, unspecified",1
60+,"Low back pain, multiple sites",1
60+,"Cervicocranial syndrome, occipito-atlanto-axial region",1
60+,Other specified disorders of iris and ciliary body,1
60+,Other specified disorders of ear,1
60+,Sequelae of cerebrovascular disease,1
60+,Atrophy of salivary gland,1
60+,"Arthrosis, unspecified, shoulder region",1
60+,Extravasation of urine,1
60+,Spastic tetraplegia,1
60+,"Cholera, unspecified",1
60+,Malignant neoplasm of bones of skull and face,1
60+,"Spondylolisthesis, multiple sites in spine",1
60+,Other pneumothorax,1
60+,Sprain and strain of medial collateral ligament,1
60+,Sprain and strain of other specified sites of hip,1
60+,Anorectal fistula,1
60+,Other open wounds of ankle and foot,1
60+,Amoebic liver abscess,1
60+,"Chronic instability, posterior cruciate ligament or posterior horn of medial meniscus",1
60+,Complete uterovaginal prolapse,1
60+,AGRANULOCYTOSIS,1
60+,Injury of femoral vein at hip and thigh level,1
60+,"Malignant neoplasm of connective and soft tissue of upper limb, including shoulder",1
60+,Other keratitis,1
60+,"Ganglion, hand",1
60+,"Malignant neoplasm of heart, mediastinum and pleura",1
60+,ACUTE POSTHAEMORRHAGIC ANAEMIA,1
60+,Symptoms and signs involving emotional state,1
60+,Abrasion of unspecified body region,1
60+,Systemic bartonellosis,1
60+,Other disorders of lacrimal system,1
60+,"Malignant neoplasm of ribs, sternum and clavicle",1
60+,"Malignant neoplasm of skin of eyelid, including canthus",1
60+,Maternal care for other abnormalities of gravid uterus,1
60+,Other contraceptive management,1
60+,Hyperchylomicronaemia,1
60+,Embolism and thrombosis of arteries of upper extremities,1
60+,Other chorioretinal disorders in diseases classified elsewhere,1
60+,Traumatic rupture of ligament of finger at metacarpophalangeal and interphalangeal joint(s),1
60+,TRICHINELLOSIS,1
60+,Trigeminal neuralgia,1
60+,Other bursal cyst,1
60+,Monoplegia of lower limb,1
60+,Corneal pigmentations and deposits,1
60+,Type 1 diabetes mellitus with other specified renal complication,1
60+,Fracture of lumbar spine and pelvis,1
60+,"Multiple fractures of foot, open",1
60+,Other and unspecified abnormalities of heart beat,1
60+,"Unilateral or unspecified inguinal hernia, with obstruction, without gangrene, not specified as recurrent",1
60+,"Gout, unspecified, site unspecified",1
60+,Unspecified abdominal hernia without obstruction or gangrene,1
60+,Unspecified adverse effect of drug or medicament,1
60+,"Gout, unspecified, multiple sites",1
60+,"Unspecified diabetes mellitus, with coma",1
60+,Other amnesia,1
60+,Unspecified injury of neck,1
60+,Deformity of orbit,1
60+,"Unspecified scoliosis, thoracolumbar region",1
60+,Open wound of scalp,1
60+,Vascular dementia,1
60+,Open wound of penis,1
60+,Vesical tenesmus,1
60+,"Gender identity disorder, unspecified",1
60+,Open wound of ankle and foot,1
60+,Open wound of ankle,1
60+,Olecranon bursitis,1
60+,"Post-traumatic hydrocephalus, unspecified",1
60+,Melanocytic naevi,1
60+,"Disorder of external ear, unspecified",1
