nama_penyakit,total_tagihan,total_klaim,total_margin
Compression of brain,3104530,2580000,524530
Other depressive episodes,2426406,1914500,511906
"Benign neoplasm of pharynx, unspecified",3248616,2738300,510316
Other specified orthopaedic follow-up care,861173,382000,479173
Toxic effect of contact with venomous animals,2674950,2234600,440350
Organic anxiety disorder,2530480,2097400,433080
"Tuberculosis of spine, lumbar region (A18.0+)",628744,196100,432644
Necrotizing fasciitis,5051286,4621000,430286
Fetus and newborn affected by surgical procedure on mother,5623453,5238800,384653
Incomplete and partial hydatidiform mole,2923290,2574600,348690
Urethral abscess,7224470,6894200,330270
"Contact with venomous snakes and lizards, Home",4338604,4008400,330204
Other disorders of lacrimal system,475879,196100,279779
Olecranon bursitis,449852,196100,253752
Other and unspecified abnormalities of heart beat,498125,272600,225525
"Syndactyly, unspecified",415000,196100,218900
Dermatitis due to unspecified substance taken internally,4885293,4669800,215493
"Muscle strain, pelvic region and thigh",391952,198700,193252
Symptoms and signs involving emotional state,5669299,5484100,185199
TRICHINELLOSIS,355003,196100,158903
Fused toes,349602,196100,153502
"Malunion of fracture, pelvic region and thigh",348920,196100,152820
Foreign body in respiratory tract,334076,198700,135376
Hypertrophy of (infrapatellar) fat pad,330720,196100,134620
Central retinal artery occlusion,330151,196100,134051
Thoracic spina bifida with hydrocephalus,329000,196100,132900
Other interstitial pulmonary diseases with fibrosis,328784,196100,132684
Fracture of symphysis of body,326371,196100,130271
Contusion of toe(s) with damage to nail,315808,196100,119708
Stuttering [stammering],110000,0,110000
"Internal derangement of knee, unspecified",303663,196100,107563
"Follicular non-hodgkin's lymphoma, unspecified",301286,196100,105186
"Cervical disc disorder, unspecified",672610,578700,93910
Intraductal carcinoma in situ of breast,285000,196100,88900
Other chorioretinal disorders in diseases classified elsewhere,329680,245600,84080
"Residual foreign body in soft tissue, multiple sites",275000,196100,78900
Deformity of orbit,313390,245600,67790
"Crohn's disease, unspecified",226119,164100,62019
Injury of flexor muscle and tendon of other finger at wrist and hand level,253236,201000,52236
Hereditary choroidal dystrophy,284036,245600,38436
Measles with other complications,1974192,1939100,35092
"Malignant neoplasm of connective and soft tissue of head, face and neck",235734,201000,34734
Progressive external ophthalmoplegia,230588,196100,34488
"Disorder of lipoprotein metabolism, unspecified",230155,196100,34055
"Strabismus, unspecified",229480,196100,33380
"Lymphangioma, any site",233522,201000,32522
Other inflammation of eyelid,224227,198700,25527
"Acute nephritic syndrome, diffuse crescentic glomerulonephritis",214762,196100,18662
Type 1 diabetes mellitus with other specified renal complication,6162813,6146000,16813
Gonococcal infection,203217,196100,7117
Portal hypertension,202745,196100,6645
"Rapidly progressive nephritic syndrome, other",201245,196100,5145
Neurofibromatosis (nonmalignant),200000,196100,3900
Supervision of normal first pregnancy,6106669,6103200,3469
Abnormality of albumin,0,0,0
"Achondrogenesis, unspecified",0,0,0
Allergic rhinitis due to pollen,0,0,0
Amoebic liver abscess,0,0,0
"Ankylosis of joint, lower leg",0,0,0
Anorectal fistula,0,0,0
"Benign neoplasm of brain , supratentorial",0,0,0
"Calcaneal spur, multiple sites",0,0,0
Calculus of prostate,0,0,0
"Caught, crushed, jammed or pinched in or between objects",0,0,0
"Cerebrovascular disease, unspecified",0,0,0
"Contusion of lower limb, level unspecified",0,0,0
"Dysplasia of cervix uteri, unspecified",0,0,0
Foreign body in mouth,0,0,0
Fracture of coccyx,0,0,0
Fracture of unspecified body region,0,0,0
Gonococcal infection of musculoskeletal system,0,0,0
"Influenza, virus not identified",0,0,0
Intermediate hyperglycaemia with neurological complication,0,0,0
Intracerebral haemorrhage in cerebellum,0,0,0
Ischaemic infarction of muscle,0,0,0
"Juvenile rheumatoid arthritis, lower leg",0,0,0
Lymphangitis,0,0,0
"Malignant neoplasm of connective and soft tissue of upper limb, including shoulder",0,0,0
Malignant neoplasm of other and unspecified major salivary glands,0,0,0
"Myopathy, unspecified",0,0,0
Neonatal diabetes mellitus,0,0,0
Neoplasm of uncertain or unknown behaviour of adrenal gland,0,0,0
Other childhood disorders of social functioning,0,0,0
Other infestations,0,0,0
Other myopathies,0,0,0
"Other respiratory tuberculosis, confirmed bacteriologically and histologically",0,0,0
Other specified inflammation of vagina and vulva,0,0,0
Other urticaria,0,0,0
"Post-traumatic hydrocephalus, unspecified",0,0,0
"Residual foreign body in soft tissue, ankle and foot",0,0,0
"Secondary and unspecified malignant neoplasm of lymph nodes of head, face and neck",0,0,0
Superficial injury of thorax,0,0,0
Tinea manuum,0,0,0
"Trisomy 21, meiotic nondisjunction",0,0,0
"Unspecified deforming dorsopathy, cervical region",0,0,0
Vulvar cyst,0,0,0
Other specified inflammation of eyelid,193142,196100,-2958
Congenital stenosis and stricture of lacrimal duct,191497,196100,-4603
Other specified injuries of head,191494,196100,-4606
Granuloma annulare,190000,196100,-6100
Rectal abscess,187975,196100,-8125
"Arthritis, unspecified, multiple sites",125000,134300,-9300
"Arthrosis, unspecified, shoulder region",125000,134300,-9300
Injury of muscle and tendon of other parts of biceps,125000,134300,-9300
"Other dorsalgia, lumbosacral region",125000,134300,-9300
Polyarthrosis,125000,134300,-9300
"Rheumatoid arthritis, unspecified, forearm",125000,134300,-9300
"Sprain and strain of wrist, part unspecified",125000,134300,-9300
"Unspecified scoliosis, thoracolumbar region",125000,134300,-9300
Other keratitis,186497,196100,-9603
Disorders of gallbladder and biliary tract in diseases classified elsewhere,185051,196100,-11049
Secondary parkinsonism due to other external agents,184486,196100,-11614
"Dislocation, sprain and strain of joints and ligaments of knee",183848,196100,-12252
Congenital single renal cyst,182951,196100,-13149
Trigeminal neuralgia,5842364,5855700,-13336
"Congenital syphilis, unspecified",181880,196100,-14220
"Ankylosing spondylitis, site unspecified",120000,134300,-14300
Injury of femoral vein at hip and thigh level,120000,134300,-14300
"Neuralgia and neuritis, unspecified, hand",120000,134300,-14300
Panniculitis affecting regions of neck and back,120000,134300,-14300
Microphthalmos,177500,196100,-18600
Disorders of accommodation,177016,196100,-19084
"Cerebral infarction due to cerebral venous thrombosis, nonpyogenic",176974,196100,-19126
Corneal pigmentations and deposits,176616,196100,-19484
Other apnoea of newborn,172068,196100,-24032
"Other specified diabetes mellitus, with ophthalmic complications",420004,444300,-24296
Anorexia nervosa,170819,196100,-25281
Other and unspecified skin changes,170788,196100,-25312
"Low back pain, multiple sites",168864,196100,-27236
Erythema infectiosum [fifth disease],168709,196100,-27391
Gingival enlargement,169826,198700,-28874
Insect bite of wrist and hand,167123,196100,-28977
Pulmonary mucormycosis,167102,196100,-28998
Pyothorax,165057,196100,-31043
"Fracture of lower end of femur, closed",162601,196100,-33499
Amoebic lung abscess (J99.8*),162525,196100,-33575
Abnormal involuntary movements,161308,196100,-34792
Sleep apnoea,160788,196100,-35312
"Deficiency of nutrient element, unspecified",160242,196100,-35858
"Malignant neoplasm of skin of eyelid, including canthus",160000,196100,-36100
Pica of infancy and childhood,159288,196100,-36812
Attention to surgical dressings and sutures,155855,196100,-40245
Unspecified injury of neck,139351,179700,-40349
"Benign neoplasm of central nervous system, unspecified",155000,196100,-41100
Disorders of visual cortex,155000,196100,-41100
"Myeloid leukaemia, unspecified",155000,196100,-41100
Traumatic rupture of ligament of finger at metacarpophalangeal and interphalangeal joint(s),153613,196100,-42487
Primary genital syphilis,153480,196100,-42620
Injury of colon,150991,196100,-45109
Miliaria profunda,150837,196100,-45263
"Rapidly progressive nephritic syndrome, diffuse endocapillary proliferative glomerulonephritis",150797,196100,-45303
Other specified conditions of integument specific to fetus and newborn,152687,198700,-46013
Ulcerative (chronic) rectosigmoiditis,149762,196100,-46338
Birth injury to scalp,147787,196100,-48313
Achondroplasia,147684,196100,-48416
Other disorders following mastoidectomy,215000,263600,-48600
Other specified disorders of ear,146985,196100,-49115
Constitutional tall stature,146251,196100,-49849
Clubbing of fingers,146173,196100,-49927
"Disorder of central nervous system, unspecified",145595,196100,-50505
Other contraceptive management,145566,196100,-50534
Autoimmune polyglandular failure,145508,196100,-50592
"Viral intestinal infection, unspecified",143900,196100,-52200
Other congenital functional disorders of colon,141280,196100,-54820
"Mental and behavioural disorders due to use of alcohol, acute intoxication",211805,269100,-57295
NUTRITIONAL AND METABOLIC DIS.,137315,196100,-58785
Chronic sinusitis,5458284,5519900,-61616
"Birth injury to scalp, unspecified",134181,196100,-61919
Bronchopulmonary dysplasia originating in the perinatal period,134181,196100,-61919
Osteitis condensans,134181,196100,-61919
Other vitamin deficiencies,132524,196100,-63576
"Noninfective disorder of lymphatic vessels and lymph nodes, unspecified",130259,196100,-65841
"Developmental disorder of scholastic skills, unspecified",129130,196100,-66970
"Staphylococcal infection, unspecified",128870,196100,-67230
Dermatitis due to ingested food,123428,196100,-72672
"Care involving use of rehabilitation procedure, unspecified",95000,169100,-74100
"Myoneural disorder, unspecified",95000,169100,-74100
Other abscess of pharynx,120170,196100,-75930
Infantile hemiplegia,119729,196100,-76371
"Twin, born in hospital",118454,196100,-77646
Congenital absence and aplasia of penis,115000,196100,-81100
"Congenital malformation of male genital organ, unspecified",115000,196100,-81100
Congenital non-neoplastic naevus,115000,196100,-81100
Malignant neoplasm of bones of skull and face,115000,196100,-81100
Malignant neoplasm of testis,115000,196100,-81100
Other congenital malformations of testis and scrotum,115000,196100,-81100
Other pulmonary aspergillosis,111430,196100,-84670
Acquired haemolytic anaemia,110000,196100,-86100
Breast engorgement of newborn,110000,196100,-86100
"Congenital malformation of peripheral vascular system, unspecified",110000,196100,-86100
Dilated cardiomyopathy,110000,196100,-86100
Double outlet right ventricle,110000,196100,-86100
"Irritant contact dermatitis, unspecified cause",110000,196100,-86100
Malignant neoplasm of connective and soft tissue of thorax,110000,196100,-86100
Moderate cervical dysplasia,110000,196100,-86100
Neonatal infective mastitis,110000,196100,-86100
Neonatal jaundice from breast milk inhibitor,110000,196100,-86100
Neoplasm of uncertain or unknown behaviour of larynx,110000,196100,-86100
Other amnesia,110000,196100,-86100
Other and unspecified lesions of oral mucosa,110000,196100,-86100
Other metabolic disorders,110000,196100,-86100
Other shoulder lesions,110000,196100,-86100
Person consulting for explanation of investigation findings,110000,196100,-86100
"Primary respiratory tuberculosis, confirmed bacteriologically and histologically",110000,196100,-86100
Solitary plasmacytoma,110000,196100,-86100
"Special screening examination for neoplasm, unspecified",110000,196100,-86100
Melanocytic naevi,105000,196100,-91100
"Pre-existing essential hypertension complicating pregnancy, childbirth and the puerperium",230000,323800,-93800
Viral and other specified intestinal infections,2161762,2259100,-97338
Long labour,5988928,6103200,-114272
Wheezing,215073,338300,-123227
"Congenital deformity of feet, unspecified",175000,301800,-126800
"Singleton, born outside hospital",175000,308900,-133900
Candidiasis,2128595,2269000,-140405
Heat syncope,0,159500,-159500
Fitting and adjustment of other external prosthetic devices,417973,578700,-160727
"Type 2 diabetes mellitus with ketoacidosis, without coma",4038582,4207300,-168718
Achondrogenesis,0,196100,-196100
"Cervicocranial syndrome, occipito-atlanto-axial region",0,196100,-196100
"Chronic instability, medial collateral ligament or other and unspecified medial meniscus",0,196100,-196100
"Chronic instability, posterior cruciate ligament or posterior horn of medial meniscus",0,196100,-196100
"Coagulation defect, unspecified",0,196100,-196100
Derangement of other and unspecified lateral meniscus due to old tear or injury,0,196100,-196100
Dislocation of midtarsal (joint),0,196100,-196100
"Disorder of brain, unspecified",0,196100,-196100
Drug-induced tics and other tics of organic origin,0,196100,-196100
"Eccrine sweat disorder, unspecified",0,196100,-196100
Examination for period of rapid growth in childhood,0,196100,-196100
"Fracture of malar and maxillary bones, closed",0,196100,-196100
"Gastroduodenitis, unspecified",0,196100,-196100
"Juvenile osteochondrosis of tibia and fibula, shoulder region",0,196100,-196100
Malignant neoplasm of ileum,0,196100,-196100
"Malignant neoplasm of ribs, sternum and clavicle",0,196100,-196100
Monoplegia of upper limb,0,196100,-196100
Mumps with other complications,0,196100,-196100
Muscular dystrophy,0,196100,-196100
Organic mood [affective] disorders,0,196100,-196100
Other specific personality disorders,0,196100,-196100
Other specified disorders of brain in diseases classified elsewhere,0,196100,-196100
Other symptoms and signs involving emotional state,0,196100,-196100
"Pain in a joint, pelvic region and thigh",0,196100,-196100
Perifolliculitis capitis abscedens,0,196100,-196100
Pulmonary valve atresia,0,196100,-196100
Retinoschisis and retinal cysts,0,196100,-196100
"Rheumatoid bursitis, multiple sites",0,196100,-196100
Seborrhoea capitis,0,196100,-196100
Seborrhoeic dermatitis,0,196100,-196100
Secondary malignant neoplasm of bone and bone marrow,0,196100,-196100
"Spondylolisthesis, multiple sites in spine",0,196100,-196100
Sprain and strain of medial collateral ligament,0,196100,-196100
Sprain and strain of other specified sites of hip,0,196100,-196100
Traumatic arthropathy,0,196100,-196100
Vesical tenesmus,0,196100,-196100
GRANULOMA INGUINALE,0,198700,-198700
Sprain and strain of lateral collateral ligament,0,198700,-198700
Sprain and strain of ulna collateral ligament,0,198700,-198700
Nonspecific urethritis,373686,578700,-205014
"Indeterminate sex, unspecified",345000,578700,-233700
Benign neoplasm of aortic body and other paraganglia,310000,578700,-268700
Chronic anal fissure,5474994,5752700,-277706
Acute gastroenteropathy due to Norwalk agent,1589090,1904900,-315810
Dyslexia and alexia,0,322400,-322400
"Special examination, unspecified",253000,578700,-325700
Other female pelvic inflammatory diseases,247481,578700,-331219
Postmenopausal atrophic vaginitis,240984,578700,-337716
Acute lymphadenitis of trunk,237147,578700,-341553
ACUTE POSTHAEMORRHAGIC ANAEMIA,2045026,2404900,-359874
"Fracture of shaft of radius, open",0,420300,-420300
Pre-excitation syndrome,0,446400,-446400
Neonatal coma,2259966,2745700,-485734
Other low birth weight 1000 - 1249g,2259966,2745700,-485734
"Gout, unspecified, multiple sites",2382282,2885400,-503118
Nontoxic multinodular goitre,0,578700,-578700
Secondary dysmenorrhoea,0,578700,-578700
"Cholera, unspecified",1685568,2269000,-583432
Influenza due to identified avian infliuenza virus,1661112,2269000,-607888
Gonococcal peritonitis (A54.8+),3456698,4104300,-647602
Otitis media in other diseases classified elsewhere,1287360,1980300,-692940
PRE-EXISTING HYPERTENSIVE  DIS,1469633,2169500,-699867
Other superficial injuries of shoulder and upper arm,2148804,2885400,-736596
Genetic anomalies of leukocytes,1523539,2269000,-745461
Benign neoplasm of bone and articular cartilage,1172734,1939100,-766366
"Malignant neoplasm of heart, mediastinum and pleura",3371623,4207300,-835677
Personal history of certain other diseases,1886558,2738300,-851742
Abrasion of unspecified body region,5940479,6826500,-886021
"Multiple fractures of foot, open",5940479,6826500,-886021
"Disorders of teeth and supporting structures, unspecified",8372261,9313000,-940739
"Fracture of great toe, closed",6027565,7002300,-974735
Cold injury syndrome,3261523,4305800,-1044277
"Nutritional deficiency, unspecified",2803907,3862900,-1058993
"Gastric ulcer, chronic or unspecified with both haemorrhage and perforation",8360290,9427500,-1067210
Viral pharyngoconjunctivitis,2971234,4103800,-1132566
"Epilepsy, unspecified, with intractable epilepsy",1586011,2738300,-1152289
Sequelae of cerebrovascular disease,2355167,3545300,-1190133
Candidiasis of other sites,6262099,7519700,-1257601
Extravasation of urine,6262099,7519700,-1257601
Open wound of scalp,6332878,7600700,-1267822
"Benign neoplasm of respiratory system, unspecified",5036550,6486300,-1449750
Lumbar spina bifida without hydrocephalus,1651740,3209500,-1557760
Sacral spina bifida without hydrocephalus,1637419,3209500,-1572081
Contusion of external genital organs,1579911,3250400,-1670489
Injury of bladder,1579911,3250400,-1670489
"Schizoaffective disorder, depressive type",2799069,4542000,-1742931
Accidental poisoning by and exposure to other and unspecified chemicals and noxious substances,1191642,2960600,-1768958
"Pregnancy-related condition, unspecified",0,1904900,-1904900
Acute periodontitis,1495913,3414900,-1918987
Other difficulties with micturition,0,1939100,-1939100
Other specified disorders of bone density and structure,0,2097400,-2097400
Third degree perineal laceration during delivery,0,2185700,-2185700
"Gout, unspecified, site unspecified",0,2244200,-2244200
"Fracture of calcaneus, open",0,2259100,-2259100
"Other bacterial foodborne intoxications, not elsewhere classified",0,2269000,-2269000
Other bacterial infections of unspecified site,0,2269000,-2269000
"Other specified diabetes mellitus, without complications",0,2269000,-2269000
Unspecified adverse effect of drug or medicament,3644115,6027100,-2382985
Other diseases of anus and rectum,0,2404900,-2404900
Toxic effect of contact with unspecified venomous animal,0,2457600,-2457600
"Condition of integument specific to fetus and newborn, unspecified",3982912,6491800,-2508888
Supervision of pregnancy with history of insufficient antenatal care,0,2532600,-2532600
Haemorrhage in early pregnancy,0,2574600,-2574600
Malignant neoplasm of other connective and soft tissue,0,2733800,-2733800
Other congenital malformations of male genital organs,7022535,9841600,-2819065
"Unspecified diabetes mellitus, with coma",2212776,5046400,-2833624
"Fracture of shoulder girdle, part unspecified",5151294,8002100,-2850806
Open wound of ankle,0,2863100,-2863100
Anencephaly,2537089,5410300,-2873211
"Disease of upper respiratory tract, unspecified",0,2885400,-2885400
"Fracture of lower end of humerus, open",0,2885400,-2885400
Other specified diabetes mellitus with hypoglycaemia,3328186,6262900,-2934714
Other hypothyroidism,0,2977000,-2977000
Hyperchylomicronaemia,6317684,9313000,-2995316
Lack of adequate food,0,3017700,-3017700
Phosphorus and its compounds,4375634,7393500,-3017866
Vascular dementia,1735391,4780900,-3045509
Congenital cerebral cysts,2484562,5582900,-3098338
"Pneumonia due to streptococcus, group B",3188319,6420500,-3232181
"Juvenile arthritis with systemic onset, site unspecified",0,3315200,-3315200
OTHER &amp; UNSPEC.INFECTIOUS DIS.,0,3381400,-3381400
"Sciatica, site unspecified",0,3382200,-3382200
Noninfective neonatal diarrhoea,0,3606600,-3606600
Vomiting in newborn,0,3606600,-3606600
"Fracture of lower leg, part unspecified, closed",7977801,11915000,-3937199
Malignant neoplasm of superior wall of nasopharynx,0,4008400,-4008400
Monoplegia of lower limb,0,4036200,-4036200
Spastic tetraplegia,0,4036200,-4036200
"Other intracranial injuries, without open intracranial wound",0,4125500,-4125500
"Interstitial pulmonary disease, unspecified",0,4183700,-4183700
"Unspecified nephritic syndrome, other",0,4512500,-4512500
Other specified protozoal intestinal diseases,0,4543100,-4543100
"Ganglion, hand",0,4580200,-4580200
Other specified disorders of iris and ciliary body,0,4583900,-4583900
Surgical operation with implant of artificial internal device,0,4721000,-4721000
Cerebellar stroke syndrome (I60-I67+),0,4742600,-4742600
Burn of third degree of head and neck,0,4817700,-4817700
"Unilateral or unspecified inguinal hernia, with obstruction, without gangrene, not specified as recurrent",0,4910800,-4910800
Maternal care for disproportion of mixed maternal and fetal origin,0,4996200,-4996200
Congenital cyanotic heart disease,0,5078100,-5078100
MALNUTRITION IN PREGNANCY,0,5238800,-5238800
Maternal care for other abnormalities of pelvic organs,0,5238800,-5238800
Neoplasm of uncertain or unknown behaviour of other respiratory organs,0,5331100,-5331100
"Labour and delivery complicated by cord complication, unspecified",0,5533600,-5533600
Other pneumothorax,0,5752100,-5752100
External haemorrhoids without complication,0,5752700,-5752700
Atrophy of salivary gland,0,5874000,-5874000
Injury of muscle and tendon at wrist and hand level,5874630,11999900,-6125270
Embolism and thrombosis of arteries of upper extremities,0,6146000,-6146000
Volvulus,0,6274500,-6274500
"Rupture of bladder, nontraumatic",6504425,12911000,-6406575
"Supervision of high-risk pregnancy, unspecified",0,6446600,-6446600
"Fracture of navicular [scaphoid] bone of hand , closed",0,7002300,-7002300
Other bursal cyst,4785714,11915000,-7129286
Injury of small intestine,5279537,13280400,-8000863
NYSTAGMUS &amp; OTHER IRREGULAR E.,0,9277500,-9277500
"Multiple fractures of metacarpal bones, closed",0,9313000,-9313000
"Respiratory failure, not elsewhere classified",9208283,18575100,-9366817
Open wound of ankle and foot,5338408,14991100,-9652692
Systemic bartonellosis,12845772,23255400,-10409628
"Gender identity disorder, unspecified",0,11962800,-11962800
Maternal distress during labour and delivery,0,16000400,-16000400
AGRANULOCYTOSIS,6433598,23255400,-16821802
Personal history of long-term (current) use of other medicaments,6433598,23255400,-16821802
"Unspecified diabetes mellitus, with ketoacidosis",6276076,23255400,-16979324
Pneumonia due to other aerobic Gram-negative bacteria,26261960,53404600,-27142640
